05-12-2018_18:17:59	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	6.0	22.0	
05-12-2018_18:17:59	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	6.0	22.0	
tiempo	1252	milis

date	objectiveFunction	maxPar	minPar	hmcr	size	seed	log	maxImprovisations	objectiveFunctions	threads	nExp	hms	
05-12-2018_18:18:54	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	5.0	22.0	
05-12-2018_18:18:54	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	5.0	22.0	
tiempo	1086	milis

date	objectiveFunction	maxPar	minPar	hmcr	size	seed	log	maxImprovisations	objectiveFunctions	threads	nExp	hms	
05-12-2018_18:19:00	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	5.0	22.0	
05-12-2018_18:19:00	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	5.0	22.0	
tiempo	1064	milis

date	objectiveFunction	maxPar	minPar	hmcr	size	seed	log	maxImprovisations	objectiveFunctions	threads	nExp	hms	
05-12-2018_18:19:12	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	2.0	22.0	
05-12-2018_18:19:12	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	2.0	22.0	
tiempo	543	milis

date	objectiveFunction	maxPar	minPar	hmcr	size	seed	log	maxImprovisations	objectiveFunctions	threads	nExp	hms	
05-12-2018_18:19:34	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	3.0	22.0	
05-12-2018_18:19:34	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	3.0	22.0	
tiempo	724	milis

date	objectiveFunction	maxPar	minPar	hmcr	size	seed	log	maxImprovisations	objectiveFunctions	threads	nExp	hms	
05-12-2018_18:19:58	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	3.0	22.0	
05-12-2018_18:19:58	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	3.0	22.0	
tiempo	739	milis

date	objectiveFunction	maxPar	minPar	hmcr	size	seed	log	maxImprovisations	objectiveFunctions	threads	nExp	hms	
05-12-2018_18:22:01	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	3.0	6.0	22.0	
05-12-2018_18:22:01	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	3.0	6.0	22.0	
tiempo	435825	milis

date	objectiveFunction	maxPar	minPar	hmcr	size	seed	log	maxImprovisations	objectiveFunctions	threads	nExp	hms	
05-12-2018_18:22:13	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	3.0	22.0	
05-12-2018_18:22:13	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	3.0	22.0	
tiempo	1058	milis

date	objectiveFunction	maxPar	minPar	hmcr	size	seed	log	maxImprovisations	objectiveFunctions	threads	nExp	hms	
05-12-2018_18:22:17	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	3.0	22.0	
05-12-2018_18:22:17	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	3.0	22.0	
tiempo	1072	milis

date	objectiveFunction	maxPar	minPar	hmcr	size	seed	log	maxImprovisations	objectiveFunctions	threads	nExp	hms	
05-12-2018_18:22:50	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	3.0	22.0	
05-12-2018_18:22:50	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	3.0	22.0	
tiempo	23459	milis

date	objectiveFunction	maxPar	minPar	hmcr	size	seed	log	maxImprovisations	objectiveFunctions	threads	nExp	hms	
05-12-2018_18:26:23	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	3.0	22.0	
05-12-2018_18:26:23	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	3.0	22.0	
tiempo	94248	milis

date	objectiveFunction	maxPar	minPar	hmcr	size	seed	log	maxImprovisations	objectiveFunctions	threads	nExp	hms	
05-12-2018_18:26:56	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	3.0	22.0	
05-12-2018_18:26:56	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	3.0	22.0	
tiempo	929	milis

date	objectiveFunction	maxPar	minPar	hmcr	size	seed	log	maxImprovisations	objectiveFunctions	threads	nExp	hms	
05-12-2018_18:27:03	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	3.0	22.0	
05-12-2018_18:27:03	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	3.0	22.0	
tiempo	927	milis

date	objectiveFunction	maxPar	minPar	hmcr	size	seed	log	maxImprovisations	objectiveFunctions	threads	nExp	hms	
05-12-2018_18:27:38	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	3.0	22.0	
